key_B,surface_carrez_lot1,surface_bati,nb_pieces,type_local,nb_lots,key_A
115_B,22.2,30,1,Appartement,1,130_A
116_B,48.38,48,2,Appartement,1,131_A
117_B,56.65,56,2,Appartement,1,132_A
118_B,32.27,32,2,Appartement,2,133_A
119_B,61.54,68,4,Appartement,1,134_A
120_B,82.37,80,4,Maison,1,135_A
121_B,53.81,53,3,Appartement,1,136_A
122_B,71.8,71,3,Appartement,1,137_A
122_B,71.8,71,3,Appartement,1,138_A
124_B,101.52,102,6,Maison,1,140_A
125_B,51.7,42,2,Appartement,2,141_A
126_B,114.17,115,4,Appartement,2,142_A
127_B,21.48,21,2,Appartement,1,143_A
128_B,36.21,36,1,Appartement,1,144_A
129_B,44.24,48,2,Appartement,2,145_A
130_B,54.7,54,2,Appartement,1,146_A
131_B,51.0,54,2,Appartement,1,147_A
132_B,42.92,41,2,Appartement,2,148_A
133_B,68.08,67,3,Appartement,2,150_A
134_B,70.15,69,3,Appartement,2,151_A
135_B,57.23,56,2,Appartement,1,152_A
136_B,132.16,131,5,Appartement,1,153_A
137_B,58.62,63,2,Appartement,1,154_A
138_B,61.89,60,3,Appartement,1,155_A
139_B,92.45,105,3,Appartement,1,156_A
140_B,71.29,71,3,Appartement,2,157_A
141_B,138.05,101,5,Maison,1,158_A
142_B,45.12,30,1,Appartement,2,159_A
143_B,70.45,75,3,Appartement,1,160_A
144_B,78.54,77,4,Appartement,1,161_A
145_B,52.58,58,2,Appartement,1,162_A
146_B,30.98,22,2,Appartement,2,163_A
147_B,95.66,106,5,Appartement,2,164_A
148_B,87.23,87,4,Appartement,1,165_A
149_B,92.47,92,5,Appartement,1,166_A
150_B,89.2,89,5,Appartement,2,167_A
151_B,28.8,40,1,Appartement,2,168_A
152_B,46.68,46,2,Appartement,1,169_A
152_B,46.68,46,2,Appartement,1,170_A
153_B,2.36,2,0,Appartement,1,171_A
154_B,68.92,68,3,Appartement,1,172_A
154_B,68.92,68,3,Appartement,1,173_A
5818_B,44.09,44,2,Appartement,1,173_A
155_B,68.45,68,3,Appartement,2,174_A
155_B,68.45,68,3,Appartement,2,175_A
156_B,102.52,103,4,Maison,1,176_A
158_B,77.86,77,4,Appartement,2,178_A
159_B,105.12,106,4,Maison,3,179_A
160_B,63.27,63,3,Appartement,3,180_A
161_B,133.24,133,4,Appartement,1,181_A
162_B,67.33,63,3,Appartement,1,182_A
163_B,68.69,65,3,Appartement,2,183_A
164_B,58.3,59,2,Appartement,1,184_A
166_B,117.63,117,5,Appartement,1,186_A
167_B,85.12,82,4,Appartement,1,187_A
168_B,42.01,42,2,Appartement,1,188_A
169_B,96.46,96,5,Maison,1,189_A
170_B,57.5,58,3,Appartement,3,190_A
171_B,90.4,90,4,Appartement,2,191_A
173_B,50.11,35,1,Appartement,1,193_A
174_B,32.6,33,2,Appartement,1,194_A
174_B,32.6,33,2,Appartement,1,195_A
10569_B,29.19,33,2,Appartement,2,195_A
175_B,103.62,88,4,Maison,1,196_A
176_B,135.89,60,2,Appartement,1,197_A
178_B,58.13,65,2,Appartement,1,199_A
179_B,38.67,39,2,Appartement,1,200_A
180_B,120.5,110,5,Maison,1,201_A
181_B,86.8,90,3,Appartement,1,202_A
182_B,41.82,47,1,Appartement,1,203_A
183_B,56.63,56,2,Appartement,1,204_A
184_B,79.06,77,3,Appartement,1,205_A
185_B,65.82,65,3,Appartement,1,206_A
186_B,38.43,44,3,Appartement,1,207_A
