key_B,surface_carrez_lot1,surface_bati,nb_pieces,type_local,nb_lots,key_A
5958_B,26.59,30,1,Appartement,2,6862_A
5959_B,85.3,85,4,Maison,1,6863_A
5960_B,79.86,80,4,Maison,1,6864_A
5961_B,34.36,34,2,Appartement,1,6865_A
5961_B,34.36,34,2,Appartement,1,6866_A
5961_B,34.36,34,2,Appartement,1,6867_A
6334_B,42.41,41,2,Appartement,1,6867_A
5962_B,67.61,65,3,Appartement,2,6868_A
5963_B,64.01,64,3,Appartement,1,6869_A
5964_B,85.28,85,4,Appartement,1,6870_A
5965_B,63.31,63,4,Appartement,2,6871_A
5966_B,66.0,76,4,Appartement,2,6872_A
5967_B,47.12,50,2,Appartement,1,6873_A
5968_B,74.33,73,3,Appartement,3,6874_A
5969_B,52.21,57,2,Appartement,1,6875_A
5970_B,49.47,49,2,Appartement,2,6876_A
5971_B,32.87,33,2,Appartement,1,6877_A
5971_B,32.87,33,2,Appartement,1,6878_A
5972_B,80.0,80,4,Appartement,2,6879_A
5972_B,80.0,80,4,Appartement,2,6880_A
18083_B,67.58,65,3,Appartement,2,6880_A
5973_B,50.22,51,2,Appartement,1,6881_A
5974_B,52.31,57,3,Appartement,1,6882_A
5975_B,26.04,26,1,Appartement,1,6883_A
5975_B,26.04,26,1,Appartement,1,6884_A
28099_B,56.22,54,3,Appartement,2,6884_A
5976_B,41.83,42,2,Appartement,2,6885_A
5977_B,30.14,30,2,Appartement,1,6886_A
5977_B,30.14,30,2,Appartement,1,6887_A
5977_B,30.14,30,2,Appartement,1,6888_A
5978_B,23.61,23,1,Appartement,1,6889_A
5979_B,104.56,104,5,Maison,1,6890_A
5980_B,46.64,47,2,Appartement,2,6891_A
5981_B,78.83,80,3,Appartement,2,6892_A
5984_B,52.13,52,2,Appartement,2,6892_A
5982_B,73.05,74,4,Appartement,1,6893_A
5982_B,73.05,74,4,Appartement,1,6894_A
6873_B,71.69,74,4,Appartement,1,6894_A
6888_B,76.65,74,4,Appartement,1,6894_A
7154_B,71.79,74,4,Appartement,1,6894_A
5983_B,35.0,40,2,Appartement,1,6895_A
5985_B,63.54,63,3,Appartement,1,6897_A
5986_B,83.27,81,4,Appartement,4,6898_A
5988_B,43.31,42,2,Appartement,2,6899_A
5989_B,44.34,44,2,Appartement,3,6900_A
5990_B,106.57,114,3,Maison,1,6901_A
5992_B,65.85,65,3,Appartement,2,6902_A
5993_B,80.89,81,4,Appartement,3,6903_A
5994_B,40.51,42,2,Appartement,2,6904_A
6007_B,40.44,42,2,Appartement,2,6904_A
5995_B,103.66,103,4,Appartement,1,6905_A
5996_B,45.14,45,2,Appartement,1,6906_A
5996_B,45.14,45,2,Appartement,1,6907_A
10423_B,48.53,47,2,Appartement,1,6907_A
5996_B,45.14,45,2,Appartement,1,6908_A
5997_B,63.31,64,3,Appartement,2,6909_A
5998_B,44.48,44,2,Appartement,1,6910_A
5999_B,90.15,89,4,Maison,1,6911_A
6000_B,107.05,105,5,Maison,3,6912_A
6015_B,87.98,89,5,Appartement,2,6912_A
6001_B,67.49,68,3,Maison,3,6913_A
6002_B,70.0,69,3,Maison,1,6914_A
6003_B,37.29,37,2,Appartement,3,6915_A
6004_B,101.52,103,4,Maison,1,6916_A
6004_B,101.52,103,4,Maison,1,6917_A
6005_B,68.85,55,3,Appartement,1,6918_A
6006_B,49.66,52,2,Appartement,1,6919_A
6008_B,80.48,83,4,Maison,1,6921_A
6009_B,46.36,46,2,Appartement,1,6922_A
6010_B,64.5,63,3,Appartement,1,6923_A
6011_B,41.68,43,2,Appartement,1,6924_A
6012_B,46.27,47,2,Appartement,2,6925_A
6013_B,38.88,38,2,Appartement,2,6926_A
6014_B,66.78,66,3,Appartement,3,6927_A
6016_B,86.24,85,4,Appartement,3,6929_A
6018_B,36.46,38,2,Appartement,2,6930_A
6019_B,54.0,57,2,Appartement,2,6931_A
6020_B,83.28,82,4,Maison,1,6932_A
6021_B,24.21,24,1,Appartement,1,6933_A
6021_B,24.21,24,1,Appartement,1,6934_A
6023_B,55.45,55,3,Appartement,1,6935_A
6025_B,40.42,41,2,Appartement,1,6936_A
6026_B,43.29,43,2,Appartement,1,6937_A
6027_B,19.33,25,1,Appartement,1,6938_A
6029_B,34.15,34,2,Appartement,2,6939_A
6031_B,82.19,81,5,Appartement,1,6940_A
6032_B,71.34,70,3,Maison,1,6941_A
6035_B,48.17,48,3,Maison,1,6942_A
6036_B,82.42,76,4,Appartement,1,6943_A
6057_B,79.7,76,4,Appartement,1,6943_A
6037_B,56.96,58,2,Appartement,1,6944_A
6038_B,51.4,51,2,Appartement,1,6945_A
6038_B,51.4,51,2,Appartement,1,6946_A
6038_B,51.4,51,2,Appartement,1,6947_A
6038_B,51.4,51,2,Appartement,1,6948_A
23006_B,58.43,59,3,Appartement,1,6948_A
6038_B,51.4,51,2,Appartement,1,6949_A
6200_B,50.75,50,2,Appartement,1,6949_A
6039_B,125.09,100,4,Appartement,1,6950_A
6040_B,18.52,39,1,Appartement,1,6951_A
6041_B,70.68,68,3,Appartement,1,6952_A
6042_B,86.3,86,4,Maison,1,6953_A
6073_B,96.29,98,4,Maison,1,6953_A
6043_B,38.26,39,1,Appartement,1,6954_A
6044_B,110.13,117,5,Appartement,2,6955_A
6045_B,26.64,26,1,Appartement,1,6956_A
6124_B,26.69,26,1,Appartement,1,6956_A
6261_B,22.08,24,1,Appartement,1,6956_A
6047_B,81.5,73,4,Appartement,1,6957_A
6113_B,66.74,61,3,Appartement,1,6957_A
6048_B,23.28,27,1,Appartement,1,6958_A
6049_B,43.69,44,2,Appartement,1,6959_A
6050_B,67.25,70,3,Appartement,1,6960_A
6051_B,22.8,25,1,Appartement,1,6961_A
6052_B,35.46,15,1,Appartement,1,6962_A
6053_B,39.7,42,1,Appartement,1,6963_A
6054_B,36.33,39,2,Appartement,1,6964_A
6224_B,35.91,39,2,Appartement,1,6964_A
6055_B,101.23,93,4,Appartement,1,6965_A
6056_B,137.73,129,4,Maison,1,6966_A
6059_B,74.02,72,3,Appartement,1,6968_A
6060_B,17.62,17,1,Appartement,1,6969_A
6060_B,17.62,17,1,Appartement,1,6970_A
6062_B,70.14,71,3,Appartement,1,6971_A
6063_B,29.46,25,2,Appartement,1,6972_A
6064_B,77.46,77,4,Appartement,1,6973_A
6065_B,63.63,64,3,Appartement,1,6974_A
6065_B,63.63,64,3,Appartement,1,6975_A
6066_B,46.2,47,3,Appartement,1,6976_A
6067_B,24.44,25,1,Appartement,1,6977_A
6068_B,87.87,68,4,Maison,1,6978_A
6069_B,68.07,70,3,Appartement,2,6979_A
6070_B,24.33,24,2,Appartement,1,6980_A
6075_B,25.15,24,2,Appartement,1,6980_A
6111_B,27.08,24,2,Appartement,1,6980_A
6165_B,24.84,24,2,Appartement,1,6980_A
6173_B,24.85,24,2,Appartement,1,6980_A
6234_B,25.21,24,2,Appartement,1,6980_A
6256_B,23.85,24,2,Appartement,1,6980_A
6072_B,48.22,48,2,Appartement,1,6981_A
6075_B,25.15,24,2,Appartement,1,6984_A
23901_B,44.6,50,3,Appartement,2,6984_A
24076_B,25.45,26,1,Appartement,2,6984_A
6076_B,34.05,37,2,Appartement,1,6985_A
6077_B,27.85,32,2,Appartement,1,6986_A
6078_B,57.64,57,3,Appartement,1,6987_A
6222_B,39.16,40,2,Appartement,1,6987_A
6079_B,78.91,70,3,Maison,1,6988_A
6080_B,62.18,69,4,Appartement,2,6989_A
6081_B,67.83,68,3,Appartement,1,6990_A
6082_B,120.02,85,3,Maison,1,6991_A
6083_B,62.47,64,3,Maison,1,6992_A
6085_B,46.09,46,2,Appartement,1,6993_A
6086_B,65.37,64,3,Maison,1,6995_A
6087_B,84.9,83,3,Appartement,1,6996_A
6088_B,68.54,69,3,Appartement,1,6997_A
6089_B,57.38,58,2,Maison,1,6998_A
6090_B,74.24,73,4,Maison,1,6999_A
6091_B,62.35,62,3,Appartement,1,7001_A
7928_B,62.86,62,3,Appartement,1,7001_A
6092_B,35.98,38,2,Maison,1,7002_A
6093_B,64.5,64,3,Appartement,1,7003_A
6093_B,64.5,64,3,Appartement,1,7004_A
6093_B,64.5,64,3,Appartement,1,7005_A
6093_B,64.5,64,3,Appartement,1,7006_A
6093_B,64.5,64,3,Appartement,1,7007_A
6094_B,28.83,30,2,Appartement,1,7008_A
6095_B,62.23,65,3,Maison,1,7009_A
6096_B,50.87,51,2,Appartement,2,7010_A
6097_B,61.85,62,3,Appartement,1,7011_A
6098_B,79.7,106,3,Maison,2,7012_A
6099_B,55.0,55,2,Appartement,1,7013_A
6099_B,55.0,55,2,Appartement,1,7014_A
6100_B,62.53,63,3,Appartement,1,7015_A
6100_B,62.53,63,3,Appartement,1,7016_A
24691_B,65.07,63,3,Appartement,1,7016_A
6101_B,58.22,63,3,Appartement,1,7017_A
6102_B,83.38,85,4,Appartement,1,7018_A
6103_B,31.86,33,1,Appartement,1,7019_A
6104_B,134.59,131,4,Appartement,1,7020_A
6105_B,57.88,58,3,Appartement,1,7021_A
6106_B,154.23,167,6,Appartement,1,7022_A
6107_B,43.69,43,2,Appartement,1,7023_A
6107_B,43.69,43,2,Appartement,1,7024_A
11944_B,56.66,56,3,Appartement,1,7024_A
6108_B,64.09,68,3,Maison,1,7025_A
6109_B,73.55,72,4,Maison,1,7026_A
6110_B,58.98,58,3,Appartement,1,7027_A
6112_B,78.78,82,4,Maison,1,7029_A
6114_B,64.0,65,3,Appartement,1,7031_A
6114_B,64.0,65,3,Appartement,1,7032_A
6114_B,64.0,65,3,Appartement,1,7033_A
6114_B,64.0,65,3,Appartement,1,7034_A
17282_B,64.6,65,3,Appartement,1,7034_A
6115_B,87.51,86,3,Appartement,1,7035_A
6116_B,90.6,81,4,Maison,1,7036_A
6117_B,29.5,30,1,Maison,1,7037_A
6118_B,52.41,59,2,Appartement,1,7038_A
6119_B,28.4,28,2,Appartement,1,7039_A
6120_B,44.96,44,1,Appartement,1,7040_A
6121_B,41.53,44,2,Appartement,1,7041_A
6136_B,40.41,38,2,Appartement,1,7041_A
6143_B,34.62,35,2,Appartement,1,7041_A
6157_B,73.86,74,3,Appartement,1,7041_A
6122_B,47.71,47,2,Appartement,1,7042_A
6123_B,58.25,61,3,Appartement,1,7043_A
6145_B,59.71,61,3,Appartement,1,7043_A
6201_B,60.74,61,3,Appartement,1,7043_A
6265_B,38.38,40,2,Appartement,1,7043_A
6125_B,28.77,25,1,Appartement,1,7045_A
6126_B,77.48,95,4,Appartement,1,7046_A
6127_B,57.99,58,3,Appartement,1,7047_A
6128_B,30.52,32,3,Maison,2,7048_A
6129_B,129.53,139,5,Appartement,1,7049_A
6130_B,60.53,62,3,Appartement,2,7050_A
6148_B,68.0,69,3,Appartement,2,7050_A
6131_B,38.88,39,1,Appartement,1,7051_A
6132_B,41.51,41,3,Appartement,1,7052_A
6133_B,33.7,38,2,Appartement,1,7053_A
6134_B,52.79,45,2,Appartement,2,7054_A
6135_B,80.91,81,4,Appartement,1,7055_A
6137_B,118.06,133,4,Appartement,1,7057_A
6138_B,78.37,73,4,Appartement,1,7058_A
6139_B,28.41,34,2,Maison,1,7059_A
6140_B,33.62,36,2,Appartement,1,7060_A
6141_B,29.77,31,2,Appartement,1,7061_A
6144_B,61.58,64,3,Appartement,1,7063_A
6146_B,37.24,38,2,Appartement,1,7065_A
6147_B,63.43,64,3,Appartement,1,7066_A
6149_B,78.51,72,5,Appartement,1,7068_A
6150_B,53.44,54,3,Appartement,1,7069_A
6151_B,44.04,48,2,Appartement,1,7070_A
6152_B,40.62,41,2,Appartement,1,7071_A
6155_B,40.9,41,2,Appartement,1,7071_A
6236_B,33.8,33,2,Appartement,1,7071_A
6153_B,23.75,27,1,Appartement,1,7072_A
6154_B,69.22,70,3,Appartement,1,7073_A
6155_B,40.9,41,2,Appartement,1,7075_A
6156_B,44.4,44,2,Appartement,1,7076_A
6156_B,44.4,44,2,Appartement,1,7077_A
6156_B,44.4,44,2,Appartement,1,7078_A
6156_B,44.4,44,2,Appartement,1,7079_A
6158_B,62.0,60,3,Appartement,2,7081_A
6158_B,62.0,60,3,Appartement,2,7082_A
6159_B,61.45,60,3,Appartement,1,7083_A
6160_B,92.87,91,5,Appartement,1,7084_A
6161_B,30.59,32,2,Appartement,1,7085_A
6171_B,30.98,31,2,Appartement,1,7085_A
6211_B,32.06,31,2,Appartement,1,7085_A
6162_B,73.24,79,4,Appartement,1,7086_A
6163_B,20.98,20,1,Appartement,1,7087_A
6164_B,54.49,50,3,Appartement,1,7088_A
6166_B,30.91,32,2,Appartement,1,7090_A
6195_B,32.42,32,2,Appartement,1,7090_A
6167_B,34.32,30,2,Appartement,1,7091_A
6167_B,34.32,30,2,Appartement,1,7092_A
6168_B,104.89,105,5,Maison,1,7093_A
6169_B,80.29,81,4,Appartement,2,7094_A
6170_B,61.25,60,3,Appartement,1,7095_A
6172_B,46.89,47,2,Appartement,1,7097_A
6174_B,23.4,28,1,Appartement,1,7099_A
6175_B,23.41,20,1,Appartement,1,7100_A
6176_B,59.89,62,3,Appartement,1,7101_A
6177_B,56.32,50,2,Appartement,1,7102_A
6178_B,56.87,57,3,Appartement,1,7103_A
6179_B,82.18,82,3,Maison,1,7104_A
6180_B,63.46,64,3,Appartement,1,7105_A
6252_B,79.74,75,4,Appartement,1,7105_A
6181_B,67.41,66,4,Appartement,2,7106_A
6181_B,67.41,66,4,Appartement,2,7107_A
18967_B,53.54,53,3,Appartement,2,7107_A
19042_B,53.26,53,3,Appartement,2,7107_A
6182_B,100.68,85,4,Maison,1,7108_A
6183_B,40.41,42,2,Appartement,1,7109_A
6184_B,46.24,45,2,Appartement,1,7110_A
6185_B,61.25,61,3,Appartement,1,7111_A
6185_B,61.25,61,3,Appartement,1,7112_A
6186_B,48.76,44,2,Appartement,1,7113_A
6188_B,64.24,63,3,Appartement,1,7115_A
6189_B,46.12,45,2,Appartement,1,7116_A
6190_B,43.97,48,1,Appartement,2,7117_A
6191_B,137.63,137,4,Appartement,1,7118_A
6192_B,347.67,229,6,Appartement,1,7119_A
6194_B,24.95,25,2,Appartement,1,7120_A
6196_B,96.42,67,1,Appartement,1,7122_A
6197_B,122.52,128,2,Appartement,1,7123_A
6198_B,104.83,105,5,Maison,1,7124_A
6199_B,71.85,71,3,Appartement,1,7125_A
6200_B,50.75,50,2,Appartement,1,7126_A
6201_B,60.74,61,3,Appartement,1,7129_A
6202_B,73.63,77,3,Maison,1,7131_A
6203_B,58.24,73,2,Appartement,1,7132_A
6204_B,76.44,73,4,Appartement,2,7133_A
6205_B,73.11,27,1,Appartement,1,7134_A
6206_B,13.56,14,1,Appartement,1,7135_A
6207_B,48.75,48,2,Appartement,1,7136_A
6208_B,59.13,58,3,Maison,1,7137_A
6209_B,34.34,36,2,Appartement,1,7138_A
6211_B,32.06,31,2,Appartement,1,7141_A
6212_B,71.71,73,3,Appartement,1,7142_A
6213_B,49.53,50,3,Appartement,1,7143_A
6214_B,47.4,47,2,Appartement,1,7144_A
6215_B,55.8,40,2,Maison,1,7145_A
6216_B,44.03,43,2,Appartement,1,7146_A
6217_B,72.96,125,3,Maison,1,7147_A
6218_B,52.19,53,2,Appartement,1,7148_A
6219_B,102.23,100,5,Appartement,2,7149_A
6220_B,84.53,80,5,Appartement,1,7150_A
6241_B,74.59,68,3,Appartement,1,7150_A
6221_B,38.4,39,2,Appartement,1,7151_A
6221_B,38.4,39,2,Appartement,1,7152_A
6223_B,29.02,29,1,Appartement,1,7155_A
6225_B,60.0,61,3,Appartement,2,7157_A
6226_B,92.17,100,3,Appartement,1,7158_A
6227_B,18.91,28,2,Appartement,1,7159_A
6228_B,65.4,40,2,Appartement,1,7160_A
6229_B,106.8,93,5,Maison,1,7161_A
6230_B,51.75,51,2,Appartement,1,7162_A
6230_B,51.75,51,2,Appartement,1,7163_A
6231_B,66.55,63,3,Appartement,1,7164_A
6232_B,90.4,75,2,Appartement,1,7165_A
6233_B,104.92,90,4,Appartement,1,7166_A
6235_B,31.03,25,2,Maison,1,7168_A
6237_B,42.1,55,4,Maison,1,7170_A
6238_B,117.87,92,5,Maison,1,7171_A
6239_B,41.11,42,2,Appartement,1,7172_A
6240_B,50.38,50,2,Appartement,1,7173_A
6240_B,50.38,50,2,Appartement,1,7174_A
6242_B,65.29,65,3,Appartement,1,7176_A
6242_B,65.29,65,3,Appartement,1,7177_A
6243_B,58.11,59,2,Appartement,2,7178_A
6244_B,154.71,153,4,Appartement,1,7179_A
6245_B,37.95,42,1,Appartement,1,7180_A
6246_B,27.14,27,2,Appartement,1,7181_A
6247_B,71.1,68,3,Appartement,1,7182_A
6248_B,70.46,70,3,Appartement,2,7183_A
6249_B,182.23,162,6,Appartement,1,7184_A
6250_B,88.48,84,3,Appartement,1,7185_A
6251_B,53.13,53,2,Appartement,1,7186_A
6254_B,67.4,59,4,Appartement,1,7188_A
6255_B,58.62,69,3,Appartement,1,7189_A
6257_B,60.99,62,3,Appartement,1,7191_A
6258_B,44.12,44,3,Maison,1,7192_A
6259_B,69.13,70,3,Maison,1,7193_A
6260_B,161.85,200,6,Appartement,1,7194_A
6262_B,61.25,62,3,Maison,1,7196_A
6263_B,56.18,59,3,Appartement,1,7197_A
6264_B,45.03,45,2,Appartement,1,7198_A
6266_B,24.37,30,2,Appartement,1,7200_A
6267_B,46.31,46,2,Appartement,1,7201_A
6267_B,46.31,46,2,Appartement,1,7202_A
6267_B,46.31,46,2,Appartement,1,7203_A
6268_B,26.39,26,1,Appartement,1,7204_A
6269_B,23.2,27,1,Appartement,1,7205_A
6270_B,39.53,42,2,Appartement,1,7206_A
6449_B,110.86,110,4,Appartement,1,7206_A
6271_B,59.74,60,3,Appartement,1,7207_A
6272_B,62.05,59,3,Appartement,1,7208_A
6273_B,65.91,49,2,Appartement,1,7209_A
6365_B,46.71,45,2,Appartement,1,7209_A
6658_B,79.46,90,5,Appartement,1,7209_A
6680_B,66.88,63,3,Appartement,1,7209_A
6274_B,48.53,48,2,Appartement,1,7210_A
6373_B,48.29,48,2,Appartement,1,7210_A
6275_B,20.28,27,1,Appartement,1,7211_A
6276_B,111.7,113,4,Appartement,1,7212_A
6278_B,13.1,12,1,Appartement,1,7213_A
6278_B,13.1,12,1,Appartement,1,7214_A
6280_B,62.84,63,3,Appartement,1,7216_A
6281_B,95.59,92,4,Appartement,1,7217_A
6349_B,103.1,103,5,Appartement,1,7217_A
6474_B,95.0,92,4,Appartement,1,7217_A
6530_B,105.8,103,5,Appartement,1,7217_A
6282_B,35.29,36,2,Appartement,1,7218_A
6282_B,35.29,36,2,Appartement,1,7219_A
6310_B,39.14,39,2,Appartement,2,7219_A
6283_B,20.15,19,1,Appartement,1,7220_A
6284_B,61.16,60,4,Appartement,1,7221_A
6286_B,53.39,60,3,Appartement,2,7222_A
6287_B,48.03,47,2,Appartement,1,7223_A
6288_B,55.46,46,2,Appartement,1,7224_A
6289_B,65.51,65,3,Appartement,1,7226_A
6290_B,49.31,50,2,Appartement,1,7227_A
6291_B,87.0,65,3,Appartement,3,7228_A
6292_B,24.89,24,1,Appartement,1,7229_A
6606_B,24.36,28,1,Appartement,1,7229_A
6293_B,64.7,61,4,Appartement,2,7230_A
6320_B,52.66,52,3,Appartement,2,7230_A
6360_B,42.18,40,2,Appartement,2,7230_A
6382_B,62.48,62,4,Appartement,2,7230_A
6397_B,75.3,75,5,Appartement,2,7230_A
6412_B,42.44,42,2,Appartement,2,7230_A
6678_B,62.56,62,4,Appartement,2,7230_A
6294_B,39.23,45,2,Appartement,1,7231_A
6295_B,95.0,96,4,Appartement,1,7232_A
6296_B,67.5,67,3,Appartement,1,7233_A
6508_B,77.8,76,4,Appartement,1,7233_A
6296_B,67.5,67,3,Appartement,1,7234_A
6296_B,67.5,67,3,Appartement,1,7235_A
6297_B,50.25,50,2,Appartement,1,7236_A
6297_B,50.25,50,2,Appartement,1,7237_A
6297_B,50.25,50,2,Appartement,1,7238_A
6298_B,32.22,33,2,Appartement,1,7239_A
6299_B,37.93,36,2,Appartement,2,7240_A
6300_B,15.37,18,1,Appartement,1,7241_A
6301_B,32.57,33,1,Appartement,2,7242_A
6302_B,56.67,59,3,Appartement,1,7243_A
6303_B,23.74,21,1,Appartement,1,7244_A
6308_B,20.67,21,1,Appartement,1,7244_A
6394_B,21.26,22,1,Appartement,1,7244_A
6436_B,20.07,20,1,Appartement,1,7244_A
6437_B,20.43,21,1,Appartement,1,7244_A
6440_B,20.66,21,1,Appartement,1,7244_A
6521_B,23.21,24,1,Appartement,1,7244_A
6533_B,20.54,21,1,Appartement,1,7244_A
6540_B,20.85,24,1,Appartement,1,7244_A
6591_B,20.08,21,1,Appartement,1,7244_A
6594_B,20.7,21,1,Appartement,1,7244_A
6729_B,23.8,24,1,Appartement,1,7244_A
6768_B,20.62,21,1,Appartement,1,7244_A
6304_B,71.8,70,4,Appartement,1,7245_A
6305_B,70.23,71,4,Appartement,1,7246_A
6306_B,29.48,33,1,Appartement,1,7247_A
6307_B,41.9,36,2,Appartement,1,7248_A
6309_B,25.54,25,1,Appartement,1,7250_A
6311_B,50.16,50,2,Appartement,1,7252_A
6312_B,38.55,38,2,Appartement,1,7253_A
6312_B,38.55,38,2,Appartement,1,7254_A
6313_B,65.0,66,3,Appartement,1,7255_A
6314_B,71.57,71,3,Appartement,1,7256_A
6315_B,62.8,62,3,Appartement,1,7257_A
6316_B,81.9,76,4,Appartement,1,7258_A
6317_B,64.55,65,3,Appartement,1,7259_A
6581_B,48.16,50,2,Appartement,1,7259_A
6318_B,48.05,46,2,Appartement,1,7260_A
6319_B,64.45,65,3,Appartement,1,7261_A
6497_B,31.0,47,2,Appartement,1,7261_A
6690_B,48.02,48,2,Appartement,1,7261_A
6710_B,47.79,47,2,Appartement,1,7261_A
6319_B,64.45,65,3,Appartement,1,7262_A
12048_B,37.62,37,2,Appartement,1,7262_A
6321_B,49.16,49,2,Appartement,1,7264_A
6321_B,49.16,49,2,Appartement,1,7265_A
8584_B,61.64,61,3,Appartement,1,7265_A
10029_B,65.5,65,3,Appartement,1,7265_A
10043_B,64.57,64,3,Appartement,1,7265_A
10061_B,45.99,46,2,Appartement,1,7265_A
10179_B,39.77,39,2,Appartement,1,7265_A
6322_B,83.82,82,4,Maison,1,7266_A
6323_B,32.73,34,2,Appartement,1,7267_A
6324_B,72.09,71,3,Appartement,2,7268_A
6325_B,69.83,69,3,Appartement,1,7269_A
6326_B,87.98,85,5,Appartement,1,7270_A
6327_B,83.34,85,4,Appartement,1,7271_A
6329_B,42.18,40,2,Appartement,1,7273_A
6329_B,42.18,40,2,Appartement,1,7274_A
6330_B,27.63,27,1,Appartement,1,7275_A
6331_B,23.39,26,1,Appartement,1,7276_A
6332_B,36.09,26,1,Appartement,1,7277_A
6333_B,31.06,31,1,Appartement,1,7278_A
6333_B,31.06,31,1,Appartement,1,7279_A
6334_B,42.41,41,2,Appartement,1,7280_A
6364_B,69.75,69,3,Appartement,1,7280_A
6558_B,70.05,69,3,Appartement,1,7280_A
6576_B,93.02,92,4,Appartement,1,7280_A
6334_B,42.41,41,2,Appartement,1,7281_A
11415_B,42.5,42,2,Appartement,1,7281_A
6335_B,40.69,40,2,Appartement,1,7283_A
6335_B,40.69,40,2,Appartement,1,7284_A
6337_B,51.43,47,2,Appartement,1,7285_A
6338_B,53.79,56,3,Appartement,1,7286_A
6633_B,63.76,65,3,Appartement,1,7286_A
6339_B,92.76,96,5,Maison,1,7287_A
6340_B,33.68,33,1,Appartement,1,7288_A
6342_B,44.87,46,2,Appartement,1,7289_A
6342_B,44.87,46,2,Appartement,1,7290_A
6343_B,33.48,25,1,Appartement,1,7291_A
6344_B,46.27,50,2,Appartement,1,7292_A
6346_B,66.0,78,3,Appartement,1,7293_A
6347_B,39.2,43,3,Appartement,1,7294_A
6348_B,89.81,89,4,Maison,1,7295_A
6350_B,27.97,18,1,Appartement,1,7297_A
6351_B,67.69,64,3,Appartement,1,7298_A
6353_B,79.61,78,4,Appartement,2,7300_A
6400_B,105.82,106,5,Appartement,2,7300_A
6354_B,232.94,127,4,Maison,1,7301_A
6355_B,71.07,71,4,Appartement,1,7302_A
6356_B,29.39,30,1,Appartement,2,7303_A
6356_B,29.39,30,1,Appartement,2,7304_A
6357_B,34.03,35,2,Appartement,1,7305_A
6359_B,27.76,19,1,Appartement,1,7306_A
6361_B,21.63,22,1,Appartement,1,7308_A
6362_B,36.51,26,2,Appartement,1,7309_A
6363_B,52.75,53,3,Appartement,2,7310_A
6365_B,46.71,45,2,Appartement,1,7313_A
6366_B,32.73,36,2,Appartement,1,7314_A
6367_B,57.25,58,3,Appartement,2,7315_A
6375_B,79.7,80,5,Appartement,2,7315_A
6582_B,82.18,90,5,Appartement,2,7315_A
6368_B,30.4,33,1,Appartement,2,7316_A
6369_B,21.34,21,1,Appartement,1,7317_A
6370_B,43.71,44,2,Appartement,1,7318_A
6371_B,70.16,70,4,Appartement,1,7319_A
6372_B,42.91,46,2,Appartement,2,7320_A
6747_B,44.2,46,2,Appartement,2,7320_A
6374_B,35.52,25,1,Appartement,1,7322_A
6376_B,42.93,45,2,Appartement,1,7324_A
6377_B,20.54,20,1,Appartement,1,7325_A
6526_B,19.96,20,1,Appartement,1,7325_A
6377_B,20.54,20,1,Appartement,1,7326_A
6378_B,93.99,90,4,Appartement,1,7327_A
6379_B,53.17,53,3,Appartement,1,7328_A
6757_B,58.17,60,2,Appartement,1,7328_A
6380_B,87.28,83,3,Maison,1,7329_A
6381_B,38.17,58,3,Appartement,2,7330_A
6383_B,86.11,85,3,Appartement,1,7332_A
6384_B,13.83,18,1,Appartement,2,7333_A
6386_B,59.35,57,3,Appartement,1,7334_A
6387_B,55.01,55,3,Appartement,1,7335_A
6387_B,55.01,55,3,Appartement,1,7336_A
6389_B,25.22,30,1,Appartement,1,7337_A
6391_B,69.25,69,3,Appartement,1,7338_A
6391_B,69.25,69,3,Appartement,1,7339_A
6391_B,69.25,69,3,Appartement,1,7340_A
6392_B,79.97,80,4,Maison,1,7341_A
6393_B,53.42,57,2,Appartement,1,7342_A
6395_B,17.34,14,1,Appartement,1,7344_A
6396_B,54.57,55,2,Appartement,2,7345_A
6398_B,70.93,68,4,Appartement,1,7347_A
6399_B,49.69,39,2,Appartement,1,7348_A
6401_B,47.02,47,2,Appartement,1,7350_A
6401_B,47.02,47,2,Appartement,1,7351_A
15450_B,54.83,55,3,Appartement,1,7351_A
6402_B,23.21,23,1,Appartement,1,7352_A
6402_B,23.21,23,1,Appartement,1,7353_A
6402_B,23.21,23,1,Appartement,1,7354_A
7516_B,46.01,47,2,Appartement,1,7354_A
22638_B,23.19,21,1,Appartement,1,7354_A
6403_B,24.41,24,1,Appartement,1,7355_A
6564_B,24.62,24,1,Appartement,1,7355_A
6404_B,48.17,47,2,Appartement,1,7357_A
6728_B,71.83,71,3,Appartement,1,7357_A
6405_B,48.1,47,2,Appartement,1,7358_A
6406_B,39.18,43,2,Appartement,1,7359_A
6407_B,68.34,72,4,Appartement,1,7360_A
6408_B,160.44,136,4,Appartement,1,7361_A
6409_B,48.7,46,2,Appartement,2,7362_A
6410_B,84.87,85,4,Appartement,1,7363_A
6413_B,54.6,54,3,Appartement,2,7365_A
6413_B,54.6,54,3,Appartement,2,7366_A
27198_B,55.52,54,3,Appartement,2,7366_A
6414_B,68.08,68,3,Appartement,1,7367_A
6415_B,75.72,68,4,Maison,1,7368_A
6416_B,41.34,41,1,Appartement,1,7369_A
6417_B,59.47,59,3,Appartement,1,7370_A
6418_B,70.74,84,3,Appartement,2,7371_A
6419_B,39.58,38,2,Appartement,1,7372_A
6420_B,88.0,82,4,Appartement,1,7373_A
6421_B,31.11,32,1,Appartement,1,7374_A
6493_B,22.21,32,2,Appartement,1,7374_A
